['2462', '27/08/23', 'GRINDER', 'By: azubh', 'bossfight - Uncle Melkers Grab Bag', '6⭐️ 2⚪ 225🔵', '93810814']
['2461', '26/08/23', 'Baltz', 'By: BALTZ', 'cYsmix - Peer Gynt', '6⭐️ 3⚪ 225🔵', '93717100']
['2460', '25/08/23', 'Ambient', 'By: iriswolfx', 'GalaxyTones - Starlite (Ft. Phelian)', '2⭐️ 2⚪ 50🔵', '93598290']
['2459', '24/08/23', 'RXGXXN CXNTRXL', 'By: johdanlop', 'Shirobon - Regain Control', '7⭐️ 3⚪ 275🔵', '92448367']
['2458', '23/08/23', 'SNOWBOARD', 'By: Pettsu', 'TheFatRat & JJD - Prelude (VIP Edit)', '6⭐️ 1⚪ 225🔵', '93634361']
['2457', '22/08/23', 'Supernova Z', 'By: azubh', 'Blackhole12 - Spiral Nebula', '4⭐️ 1⚪ 125🔵', '93148373']
['2456', '21/08/23', 'Souls', 'By: Jordi6304', 'Creo - Reflections', '7⭐️ 0⚪ 275🔵', '93535235']
['2455 ', '20/08/23', 'Retro Generation', 'By: McMiner3244', 'Bossfight - Glitch Gremlin', '7⭐️ 3⚪ 275🔵', '93196585']
['2454', '19/08/23', '1k or P', 'By: sink', 'ColBreakz - 5000', '6⭐️ 3⚪ 225🔵', '93475955']
['2453', '18/08/23', 'HUSH', 'By: dkitey', 'Vyz3r - lies lies lies', '5⭐️ 0⚪ 175🔵', '93445414']
['2452', '17/08/23', 'Breeze', 'By: Adriam71', 'Aerin - Constellation', '5⭐️ 3⚪ 175🔵', '92858373']
['2451', '16/08/23', 'Lattice', 'By: KJbeast1000', 'Waterflame - -Advancer-', '6⭐️ 1⚪ 225🔵', '90931925']
['2450', '15/08/23', 'Clorion', 'By: HcreatoR', 'Killer-FX - Metamorphic', '7⭐️ 0⚪ 275🔵', '93341149']
['2449', '14/08/23', 'Burger Dance', 'By: SirExcelDJ', 'dj-Nate - Evolution of Music', '8⭐️ 2⚪ 350🔵', '93343006']
['2448', '13/08/23 GD 10 Years Special', 'Lunar Ride', 'By: Jordi6304', 'plompital - comfort chain', '5⭐️ 0⚪ 175🔵', '93323713']
['2447', '12/08/23', 'Wanders', 'By: Gepsoni4', 'F-777 - Wander of Thought', '6⭐️ 0⚪ 225🔵', '93304576']
['2446', '11/08/23', 'Square Boi', 'By: Partyboy3', 'Andersson 187 - EPIC', '7⭐️ 0⚪ 275🔵', '93111547']
['2445', '10/08/23', 'OK CUT', 'By: Vitto918', 'Acid Notation - Lights, Camera, Action!', '6⭐️ 1⚪ 225🔵', '93166013']
['2444', '09/08/23', 'Dr Pepper', 'By: Maroplay', 'Dunder patrullen - How To Adventure', '8⭐️ 0⚪ 350🔵', '93182527']
['2443', '08/08/23', 'Electronic Force', 'By: Adriam71', 'Shirobon - Born Survivor', '7⭐️ 3⚪ 275🔵', '93101466']
['2442', '07/08/23', 'MaloNez', 'By: Gepsoni4', 'Djjaner - Fleetwire', '4⭐️ 0⚪ 125🔵', '93085260']
['2441', '06/08/23', 'DamSt', 'By: Chuchito Domin', 'Rosendale - Landslide', '5⭐️ 3⚪ 175🔵', '93112968']
['2440', '05/08/23', 'Luminos', 'By: Jordi6304', 'DJStriden - GLOW', '6⭐️ 1⚪ 225🔵', '93078587']
['2439', '04/08/23', 'BRAKE', 'By: therealbillly', 'Shirobon - Into The Zone', '4⭐️ 3⚪ 125🔵', '91386076']
['2438', '03/08/23', 'Fruset Hjarta', 'By: Xerite', 'EspiDev - Frozen Heart (w/ Nanolith)', '6⭐️ 0⚪ 225🔵', '92709186']
['2437', '02/08/23', 'merek etenge', 'By: Jeikins', 'dexarson - Payload', '6⭐️ 3⚪ 225🔵', '92243643']
['2436', '01/08/23', 'Evolute', 'By: AndrixGD', 'Creo - Evolution', '6⭐️ 0⚪ 225🔵', '92927896']
['2435', '31/07/23', 'jarvis drop', 'By: robotchief', 'Demonicity - BEST DROP OF ALL TIME', '6⭐️ 0⚪ 225🔵', '92571114']
['2434', '30/07/23', 'blahaj', 'By: fr3dmc', 'Geoxor - Galaxy', '6⭐️ 2⚪ 225🔵', '92659272']
['2433', '29/07/23', 'Light city', 'By: iriswolfx', 'DerpCat - Moonlight', '5⭐️ 1⚪ 175🔵', '92673992']
['2432', '28/07/23', 'Starstorm Slumber', 'By: Polarbeahr', 'TheColdSpirit - Cosmic Dreamer', '7⭐️ 3⚪ 275🔵', '92841662']
['2431', '27/07/23', 'RUSH', 'By: dkitey', 'Vyzer - 1929', '6⭐️ 0⚪ 225🔵', '92586006']
['2430', '26/07/23', 'Old Disco', 'By: Adriam71', 'luanmer - Discotheque (feat. BreezyDev)', '6⭐️ 3⚪ 225🔵', '92710129']
['2429', '25/07/23', 'vstep', 'By: Virtualoid', 'DJVI - yStep', '7⭐️ 3⚪ 275🔵', '92450657']
['2428', '24/07/23', 'Ocean Story', 'By: YunHaSeu14', 'Geoplex - Blue Expanse', '6⭐️ 3⚪ 225🔵', '92651873']
['2427', '23/07/23', 'Spark of Smissmass', 'By: Polarbeahr', 'TheGuitahHeroe - Pokemon - Temporal Tower', '7⭐️ 2⚪ 275🔵', '92488018']
['2426 🟡', '23/07/23 Replaced', 'the last straw', 'By: C034Thing', 'Xtrullor & Panda Party - Sheol', '9⭐️ 1⚪ 425🔵', '91737498']
['2425', '22/07/23', 'BREAKAWAY', 'By: KMJFIRE', 'SVRGE - Break Away', '8⭐️ 1⚪ 350🔵', '91967003']
['2424', '21/07/23', 'Reactant', 'By: AndrixGD', 'Xtrullor - Instant Reaction', '8⭐️ 1⚪ 350🔵', '92543345']
['2423', '20/07/23', 'Crunkle berry', 'By: Sobeann', 'Envy - Heaven Rd. 2 (Ng mix)', '6⭐️ 0⚪ 225🔵', '91586738']
['2422', '19/07/23', 'Dreamy', 'By: DHaner', 'mididuck - unstable', '3⭐️ 0⚪ 75🔵', '92555035']
['2421', '18/07/23', 'chacha', 'By: Pettsu', 'meganeko - Super Gamer Girl 3D', '5⭐️ 1⚪ 175🔵', '92527233']
['2420', '17/07/23', 'Friendly', 'By: krenogd', 'Jezzel - Always You', '6⭐️ 2⚪ 225🔵', '92445166']
['2419', '16/07/23', 'Serenus Lumen', 'By: Polarbeahr', 'Caro - It Happens', '6⭐️ 3⚪ 225🔵', '92461204']
['2418', '15/07/23', 'leto', 'By: NoFlix', 'J V N - Cold Outside', '5⭐️ 3⚪ 175🔵', '92352335']
['2417', '14/07/23', 'NEW GLIMMER', 'By: PICAAAAAA', 'Geoplex - Glimmer', '5⭐️ 0⚪ 175🔵', '92426420']
['2416', '13/07/23', 'Shine', 'By: xXNooBZzXx', 'Waterflame - -Time Machine 2-', '6⭐️ 3⚪ 225🔵', '91357556']
['2415', '12/07/23', 'HUN', 'By: dkitey', 'Cursedsnake - Fiery remake', '5⭐️ 1⚪ 175🔵', '92223332']
['2414', '11/07/23', 'Space Drifter', 'By: krenogd', 'cycerin - Startide', '6⭐️ 0⚪ 225🔵', '92306694']
['2413', '10/07/23', 'Washed Out', 'By: STYL0', 'Faux Tales - Beacon', '6⭐️ 0⚪ 225🔵', '92292139']
['2412', '09/07/23', 'Already Gone', 'By: Adriam71', 'FWLRmusic - Already Gone', '8⭐️ 3⚪ 350🔵', '92262040']
['2411', '08/07/23', 'Bouncing', 'By: SebasuGD', 'Auston - Backstreet', '5⭐️ 1⚪ 175🔵', '92153930']
['2410', '07/07/23', 'OUR EXTRAVAGANZA', 'By: PICAAAAAA', 'UnrealReno - Interstellar (Yannic G Remix)', '8⭐️ 0⚪ 350🔵', '89140813']
['2409', '06/07/23', 'Sorry', 'By: Adriam71', 'Panda Eyes - Space and Time', '6⭐️ 3⚪ 225🔵', '91096875']
['2408', '05/07/23', 'Daybreak', 'By: Zeniux', 'PredatorMusic - AIM - Sun Diver', '8⭐️ 3⚪ 350🔵', '91811353']
['2407', '04/07/23', 'INEFFABLE', 'By: Romori', 'Qwamii - Paradox', '5⭐️ 1⚪ 175🔵', '91957340']
['2406', '03/07/23', 'Ruined Workshop', 'By: paultam', 'yagru - g444444444g', '5⭐️ 3⚪ 175🔵', '92066436']
['2405', '02/07/23', 'Restart', 'By: Markyforce', 'Ipsiom - 80s Cyberwave', '9⭐️ 0⚪ 425🔵', '91541327']
